Student_id,Stress Coping Mechanisms,Stress Level Category,Age,Academic Performance (GPA),Study Hours Per Week,Social_Media_Usage_per_week,Sleep Duration (Hours per night),Physical Exercise (Hours per week),Family Support,Financial Stress,Peer Pressure,Relationship Stress,Counseling Attendance,Diet Quality,Cognitive Distortions,Family Mental Health History,Medical Condition,Substance Use,Gender_Female,Gender_Male,Gender_Other,Stress_Ratio
871,Meditation,Low,30,2,47,35,8,7,2,5,4,3,0,2,5,0,1,3,0,0,0,2.4999875000625
2604,Exercise,Low,30,0,20,49,12,8,4,4,3,3,0,4,4,1,1,4,0,0,1,0.9999975000062501
5172,Spending Time Alone,Low,27,4,-2,28,5,7,5,3,2,1,0,4,3,1,1,3,0,0,1,0.5999988000024
567,Meditation,High,18,0,27,0,6,9,2,4,4,5,0,5,3,0,0,2,0,1,0,1.9999900000499997
1564,Travelling,Medium,23,2,31,21,6,2,5,2,4,4,0,2,4,1,1,4,0,0,0,0.39999920000160005
1147,Social Media Engagement,Medium,24,1,38,56,12,6,5,5,3,3,1,3,5,1,1,3,0,0,0,0.9999980000040001
4269,Meditation,High,25,0,-15,7,6,10,2,3,1,5,0,2,4,1,1,4,0,0,0,1.4999925000374998
385,Talking to Friends,Medium,27,2,39,7,6,1,3,1,2,1,0,4,1,0,1,4,0,0,1,0.3333322222259259
458,Reading,High,23,4,53,56,10,7,5,5,5,1,1,1,4,0,0,2,0,1,0,0.9999980000040001
3172,Meditation,Low,26,4,32,42,4,2,5,1,2,1,0,5,5,1,1,3,0,0,0,0.19999960000080003
3964,Meditation,High,27,1,23,21,11,1,3,1,2,1,1,4,5,0,1,1,0,0,0,0.3333322222259259
4433,Social Media Engagement,High,18,0,34,0,6,2,3,2,4,3,1,2,5,0,0,4,0,0,1,0.6666644444518518
217,Talking to Friends,Medium,19,1,5,21,6,7,3,2,4,5,0,3,5,0,0,3,1,0,0,0.6666644444518518
3412,Travelling,Low,30,3,29,49,7,3,1,1,3,1,1,4,2,1,0,4,0,1,0,0.9999900000999989
4223,Spending Time Alone,High,26,1,25,49,12,5,1,1,1,2,1,3,2,1,1,3,0,0,0,0.9999900000999989
946,Talking to Friends,Low,22,2,24,0,7,0,4,2,4,4,1,5,5,1,0,5,0,0,0,0.49999875000312505
2318,Spending Time Alone,High,24,3,35,49,7,2,5,1,4,2,1,4,2,0,1,4,0,0,0,0.19999960000080003
1915,Yoga,Low,28,2,-9,0,4,8,2,1,1,3,1,1,1,0,1,2,0,0,0,0.49999750001249993
4191,Reading,High,22,2,43,35,7,8,5,5,2,2,1,3,3,0,1,5,0,0,0,0.9999980000040001
2371,Social Media Engagement,Medium,19,4,25,49,4,1,4,5,4,1,1,2,3,0,0,3,0,0,0,1.2499968750078125
5251,Reading,Medium,20,0,14,42,9,5,3,2,5,3,1,2,4,0,0,3,0,0,1,0.6666644444518518
3169,Exercise,Low,21,1,42,42,8,2,3,3,4,1,1,1,2,1,1,5,0,0,0,0.9999966666777778
3443,Meditation,Low,20,3,19,14,10,2,1,2,1,1,0,5,4,0,0,1,0,0,1,1.9999800001999979
1353,Talking to Friends,Low,24,4,24,28,7,6,1,3,2,1,1,1,1,1,0,4,0,0,1,2.9999700002999967
819,Meditation,High,24,2,27,28,8,4,3,2,4,4,0,5,2,0,1,3,1,0,0,0.6666644444518518
1996,Yoga,Low,24,4,4,7,9,10,3,4,3,2,0,1,2,1,1,1,0,1,0,1.3333288889037036
4204,Walking or Nature Walks,Low,21,4,19,0,12,4,5,4,5,5,0,5,2,1,1,5,0,0,0,0.7999984000032001
2551,Spending Time Alone,Medium,28,0,28,56,6,2,1,2,3,2,1,2,1,1,1,2,0,0,0,1.9999800001999979
3350,Reading,Low,25,3,41,49,4,5,2,4,4,3,0,1,1,1,0,1,0,0,0,1.9999900000499997
2846,Walking or Nature Walks,High,19,0,31,21,4,6,5,5,4,4,0,3,4,1,1,2,1,0,0,0.9999980000040001
5560,Exercise,High,21,4,23,56,9,7,5,2,4,5,1,3,3,1,1,3,0,0,1,0.39999920000160005
3408,Social Media Engagement,Low,18,0,8,35,11,2,4,3,1,3,1,3,3,0,1,2,0,1,0,0.7499981250046875
3955,Social Media Engagement,Low,18,1,33,49,11,5,5,5,2,2,1,5,5,1,0,4,0,0,1,0.9999980000040001
3458,Yoga,Low,26,3,23,21,6,0,2,2,1,5,1,5,5,1,1,4,0,0,1,0.9999950000249999
5575,Walking or Nature Walks,Low,18,2,-16,0,9,6,4,3,5,1,0,3,4,0,1,3,0,0,1,0.7499981250046875
5351,Yoga,High,22,2,23,35,4,4,3,1,1,1,0,2,3,0,1,2,0,0,0,0.3333322222259259
1782,Yoga,Low,21,0,40,49,4,2,1,1,5,1,1,2,5,0,1,2,0,0,1,0.9999900000999989
1852,Exercise,High,29,0,12,0,8,5,3,5,4,3,1,4,2,0,1,1,0,0,0,1.6666611111296294
1579,Yoga,High,20,0,42,28,10,8,5,5,1,3,0,3,3,1,0,5,0,0,0,0.9999980000040001
4851,Travelling,Low,20,1,51,49,12,6,3,4,4,3,0,5,4,1,1,5,0,0,1,1.3333288889037036
3374,Social Media Engagement,Medium,29,4,23,14,5,10,5,3,5,5,1,3,5,0,1,5,0,0,0,0.5999988000024
2901,Walking or Nature Walks,Medium,18,2,14,0,6,9,5,4,4,4,1,3,3,0,0,4,0,0,1,0.7999984000032001
925,Travelling,High,22,0,49,21,10,7,5,1,5,4,0,4,4,1,1,3,0,0,0,0.19999960000080003
1380,Exercise,High,27,4,5,56,7,3,4,5,2,1,0,5,4,1,1,4,0,1,0,1.2499968750078125
5267,Meditation,Low,22,2,54,21,5,5,2,4,5,3,0,2,1,0,0,5,0,0,0,1.9999900000499997
4916,Exercise,High,25,4,66,7,10,7,3,3,1,5,0,1,5,0,0,1,0,1,0,0.9999966666777778
2560,Yoga,Medium,24,4,44,21,4,8,3,4,2,5,1,3,4,1,1,4,1,0,0,1.3333288889037036
5466,Watching Sports,Low,18,4,32,49,10,1,2,2,2,2,0,5,2,1,1,2,0,0,1,0.9999950000249999
1832,Talking to Friends,High,23,2,44,56,10,6,5,1,3,5,0,3,1,1,0,3,0,0,1,0.19999960000080003
423,Meditation,High,20,0,20,56,11,7,3,5,3,2,0,3,4,0,0,3,1,0,0,1.6666611111296294
3862,Walking or Nature Walks,Medium,23,4,21,14,10,1,3,1,2,3,0,5,3,1,1,1,0,0,0,0.3333322222259259
2273,Reading,Medium,28,0,31,28,11,10,5,2,3,5,1,5,5,1,1,5,0,0,0,0.39999920000160005
4100,Watching Sports,Low,25,2,1,14,4,10,4,1,3,3,0,1,1,0,1,5,0,0,1,0.24999937500156252
5536,Travelling,High,18,2,77,0,5,4,5,5,5,1,0,2,5,0,1,4,0,0,0,0.9999980000040001
1573,Watching Sports,Low,23,2,48,42,10,5,5,5,1,2,1,1,2,0,0,5,1,0,0,0.9999980000040001
3031,Exercise,High,23,2,24,21,11,4,3,2,5,1,0,5,5,1,0,2,0,0,1,0.6666644444518518
4724,Social Media Engagement,High,22,0,18,49,10,7,2,2,4,3,1,5,5,1,1,3,0,1,0,0.9999950000249999
1462,Exercise,High,19,1,33,14,12,4,5,5,2,3,1,2,4,1,0,3,1,0,0,0.9999980000040001
4411,Watching Sports,Medium,20,4,27,21,6,7,5,4,4,3,0,5,1,0,1,5,0,0,0,0.7999984000032001
3580,Exercise,Medium,18,2,16,14,7,3,2,4,1,4,0,5,4,0,1,3,0,0,1,1.9999900000499997
1292,Walking or Nature Walks,Medium,29,2,29,35,8,8,4,5,5,1,1,5,5,0,0,4,1,0,0,1.2499968750078125
5520,Exercise,Low,21,2,39,28,5,8,1,4,2,1,0,3,2,1,0,4,0,0,1,3.9999600003999958
2566,Travelling,Low,27,4,21,21,8,8,2,4,5,3,1,2,1,0,1,1,0,0,0,1.9999900000499997
5693,Meditation,Medium,22,2,25,35,6,0,2,4,2,2,1,1,3,1,1,3,0,1,0,1.9999900000499997
2753,Watching Sports,Medium,20,1,30,7,10,3,1,5,2,3,1,3,5,0,0,5,0,0,0,4.999950000499995
3558,Spending Time Alone,Medium,29,2,20,42,7,4,1,4,5,4,1,1,1,1,1,2,0,0,0,3.9999600003999958
5015,Reading,Low,18,4,42,0,10,4,1,1,3,2,1,4,3,0,1,2,0,0,1,0.9999900000999989
2790,Talking to Friends,High,29,2,38,49,4,0,3,4,5,5,0,2,2,0,1,2,0,1,0,1.3333288889037036
2832,Travelling,Low,27,4,52,21,4,9,5,4,3,5,1,1,3,1,1,5,0,0,1,0.7999984000032001
4645,Spending Time Alone,Medium,23,3,29,28,11,2,5,5,1,2,1,5,5,1,0,3,0,0,0,0.9999980000040001
1181,Social Media Engagement,Medium,25,4,65,49,6,9,1,2,1,2,0,1,1,1,1,2,1,0,0,1.9999800001999979
2656,Yoga,Low,23,0,14,7,6,6,3,3,3,4,0,1,5,0,1,3,1,0,0,0.9999966666777778
9,Talking to Friends,Low,21,3,4,7,4,8,2,4,1,5,1,4,5,1,1,3,0,1,0,1.9999900000499997
4927,Social Media Engagement,High,24,0,2,0,11,6,1,5,4,1,1,2,3,0,1,4,0,0,0,4.999950000499995
1322,Watching Sports,Medium,19,2,22,42,9,3,3,2,4,2,1,4,4,1,0,2,0,1,0,0.6666644444518518
150,Walking or Nature Walks,High,22,4,31,35,8,4,3,5,4,1,0,3,4,0,0,4,1,0,0,1.6666611111296294
3495,Reading,Low,25,3,-7,0,5,4,4,4,4,1,0,2,1,0,1,3,0,0,0,0.9999975000062501
1806,Exercise,Low,28,2,17,56,9,1,3,2,3,2,0,5,3,0,0,3,0,1,0,0.6666644444518518
3985,Meditation,High,19,3,51,35,4,8,5,1,2,1,0,3,2,0,0,2,0,0,0,0.19999960000080003
4156,Social Media Engagement,Low,30,2,-1,42,11,3,4,2,1,3,0,3,3,1,0,3,0,0,0,0.49999875000312505
2266,Yoga,Medium,18,2,13,28,12,3,4,2,3,5,0,2,3,0,1,4,0,1,0,0.49999875000312505
1458,Talking to Friends,High,21,4,37,21,10,10,5,1,5,1,0,5,3,0,0,2,0,0,0,0.19999960000080003
3191,Reading,High,30,3,13,42,12,5,5,2,2,5,0,5,2,1,0,4,0,1,0,0.39999920000160005
919,Watching Sports,Low,28,4,33,49,10,2,2,1,1,3,0,4,5,0,0,5,0,0,0,0.49999750001249993
4969,Travelling,Medium,21,4,14,49,5,9,1,5,5,5,0,5,4,0,0,4,0,0,0,4.999950000499995
756,Meditation,Low,23,3,5,42,12,7,1,4,2,1,1,2,4,1,0,1,1,0,0,3.9999600003999958
1178,Exercise,High,23,2,20,21,9,3,2,5,3,5,0,3,4,1,1,1,0,0,1,2.4999875000625
5232,Watching Sports,Medium,24,2,21,28,9,7,3,2,4,5,1,2,5,1,0,1,0,0,1,0.6666644444518518
3947,Reading,High,23,0,28,0,7,0,5,4,5,5,1,1,4,1,1,4,0,0,0,0.7999984000032001
1321,Watching Sports,Low,24,3,76,7,8,10,1,5,1,5,1,5,2,1,0,2,0,0,1,4.999950000499995
1120,Talking to Friends,Medium,29,0,8,49,7,3,3,4,2,1,1,1,4,1,1,2,0,1,0,1.3333288889037036
4302,Talking to Friends,Medium,25,2,-5,56,12,0,3,3,2,1,0,2,4,1,1,3,1,0,0,0.9999966666777778
294,Yoga,Medium,20,1,36,7,10,7,3,4,3,3,1,5,1,0,1,5,0,1,0,1.3333288889037036
3258,Spending Time Alone,High,27,4,62,0,7,10,2,3,2,2,0,5,1,1,1,5,1,0,0,1.4999925000374998
3484,Spending Time Alone,High,30,3,57,28,9,2,3,5,3,4,1,4,2,1,0,2,0,0,1,1.6666611111296294
1340,Reading,Low,20,2,18,14,5,2,4,4,1,3,1,4,1,1,1,1,0,1,0,0.9999975000062501
817,Walking or Nature Walks,High,24,1,31,7,12,0,1,2,5,2,0,5,2,1,0,4,0,0,0,1.9999800001999979
987,Yoga,High,29,1,3,14,5,9,5,2,2,4,1,2,5,0,0,2,0,0,1,0.39999920000160005
2043,Watching Sports,Low,28,3,77,56,12,0,5,3,4,3,0,1,1,0,1,3,1,0,0,0.5999988000024
4035,Reading,Medium,23,3,10,49,10,5,5,2,4,3,0,5,2,0,1,3,1,0,0,0.39999920000160005
3400,Spending Time Alone,Low,28,1,-8,0,10,1,3,5,2,1,1,4,3,1,0,4,0,1,0,1.6666611111296294
584,Yoga,High,27,0,59,42,8,9,1,4,1,1,1,1,4,1,1,4,1,0,0,3.9999600003999958
5425,Watching Sports,Medium,28,2,39,0,5,2,3,4,4,1,0,5,2,1,1,3,0,0,1,1.3333288889037036
902,Yoga,Medium,27,3,28,14,11,6,3,1,3,3,1,1,3,0,0,4,0,0,0,0.3333322222259259
4765,Reading,Low,19,1,49,56,5,1,3,4,4,5,0,2,2,0,0,4,0,0,1,1.3333288889037036
3639,Meditation,High,22,1,52,21,8,8,4,5,1,2,1,4,2,0,0,2,0,0,0,1.2499968750078125
820,Reading,High,29,0,29,35,5,1,2,2,1,5,0,3,4,0,0,1,1,0,0,0.9999950000249999
782,Reading,High,26,2,6,35,10,5,5,3,1,5,1,2,1,1,1,2,0,1,0,0.5999988000024
5758,Spending Time Alone,High,22,4,17,21,7,2,2,5,2,5,1,3,3,1,1,4,0,0,0,2.4999875000625
3750,Walking or Nature Walks,High,19,0,70,49,12,4,4,5,2,2,0,4,2,0,1,1,1,0,0,1.2499968750078125
5453,Yoga,Low,29,1,44,21,6,9,3,5,1,5,0,5,2,1,1,4,0,0,1,1.6666611111296294
348,Yoga,High,19,3,27,49,9,4,4,2,1,5,1,3,1,1,0,4,0,1,0,0.49999875000312505
3382,Social Media Engagement,Low,26,2,11,42,11,9,5,1,3,4,0,1,5,1,0,2,0,0,1,0.19999960000080003
4329,Spending Time Alone,Low,19,2,7,49,10,0,3,1,5,2,0,4,5,0,0,5,0,0,1,0.3333322222259259
122,Yoga,Low,21,2,44,35,12,10,3,2,2,3,1,4,4,0,0,4,1,0,0,0.6666644444518518
3035,Yoga,Medium,19,1,38,21,9,1,4,1,3,3,1,5,2,0,1,5,0,0,0,0.24999937500156252
4890,Exercise,High,26,0,46,42,11,0,5,2,1,3,0,5,3,1,0,4,0,0,1,0.39999920000160005
2121,Talking to Friends,Medium,26,2,30,21,12,10,5,2,2,5,1,1,5,0,1,4,0,0,1,0.39999920000160005
462,Reading,Medium,30,1,39,49,10,5,1,3,3,1,1,5,1,0,0,1,0,1,0,2.9999700002999967
2400,Walking or Nature Walks,Low,29,1,33,0,8,10,2,3,5,1,0,3,3,0,1,5,0,0,1,1.4999925000374998
4544,Talking to Friends,Low,30,4,47,49,6,4,5,1,1,2,1,4,1,1,0,5,0,0,1,0.19999960000080003
1417,Meditation,Low,19,3,19,7,8,3,2,3,4,3,1,1,4,0,1,1,0,0,0,1.4999925000374998
4272,Talking to Friends,High,25,0,21,42,4,2,5,5,4,4,1,4,5,1,0,1,0,0,0,0.9999980000040001
2298,Watching Sports,High,30,1,-4,7,9,6,4,1,5,4,1,1,2,1,0,5,0,0,1,0.24999937500156252
2653,Reading,Low,23,1,35,7,9,6,4,5,1,2,1,4,5,1,1,5,0,0,0,1.2499968750078125
5470,Talking to Friends,Low,23,2,38,14,8,10,4,5,2,2,0,1,5,0,1,3,1,0,0,1.2499968750078125
3504,Talking to Friends,Medium,18,2,28,7,4,6,5,1,4,1,1,1,3,1,1,3,0,0,0,0.19999960000080003
1123,Yoga,High,22,3,46,49,4,4,2,5,4,4,0,1,2,1,1,5,0,1,0,2.4999875000625
2623,Watching Sports,Medium,24,4,43,56,11,3,1,2,3,4,1,2,1,0,1,5,0,0,0,1.9999800001999979
3366,Yoga,Low,30,3,13,7,6,5,2,4,5,4,1,4,1,1,1,4,0,0,1,1.9999900000499997
1168,Social Media Engagement,High,22,4,23,56,9,4,2,5,4,4,1,5,1,1,0,5,0,0,0,2.4999875000625
2362,Talking to Friends,Medium,20,1,41,14,9,6,2,3,5,1,0,3,1,1,0,4,0,0,1,1.4999925000374998
3980,Spending Time Alone,High,26,2,26,7,10,10,5,3,3,1,1,2,1,1,1,3,0,0,0,0.5999988000024
1360,Talking to Friends,Low,29,0,40,28,10,0,5,5,2,3,1,4,5,0,1,5,0,0,0,0.9999980000040001
2594,Watching Sports,High,24,2,23,49,7,0,4,3,5,1,0,1,2,0,0,3,0,1,0,0.7499981250046875
2734,Walking or Nature Walks,High,18,0,16,56,8,4,5,4,4,5,1,4,2,1,1,1,0,0,0,0.7999984000032001
429,Yoga,Medium,20,4,12,42,4,3,4,5,1,1,1,5,1,1,1,2,0,1,0,1.2499968750078125
2718,Spending Time Alone,High,23,3,13,42,7,7,4,2,5,1,0,2,2,1,0,3,0,0,1,0.49999875000312505
3248,Travelling,Medium,20,3,25,14,6,3,3,1,4,3,0,5,3,1,1,4,0,0,0,0.3333322222259259
235,Meditation,High,19,1,52,7,7,4,1,5,3,4,1,1,2,0,1,4,0,0,0,4.999950000499995
2710,Travelling,High,18,2,31,56,11,5,4,4,1,1,0,3,2,0,0,3,0,0,0,0.9999975000062501
36,Social Media Engagement,Medium,21,3,40,21,10,5,2,1,2,5,0,2,4,1,1,3,0,1,0,0.49999750001249993
1372,Watching Sports,Low,27,1,4,0,4,7,4,4,2,4,1,1,2,0,0,2,1,0,0,0.9999975000062501
3071,Exercise,Medium,30,3,59,49,11,3,5,4,5,3,0,3,2,1,0,1,0,0,0,0.7999984000032001
3170,Walking or Nature Walks,High,26,2,19,21,12,10,2,3,5,2,1,4,5,0,1,5,1,0,0,1.4999925000374998
3679,Talking to Friends,High,21,4,5,49,9,7,3,5,4,2,0,4,3,0,1,2,0,0,0,1.6666611111296294
1635,Reading,High,26,0,78,42,12,9,5,2,1,3,1,2,2,1,0,5,0,1,0,0.39999920000160005
3080,Watching Sports,Low,19,4,24,56,8,3,2,1,2,4,1,3,5,0,1,2,0,0,0,0.49999750001249993
486,Yoga,Low,30,4,8,42,4,7,5,5,1,4,1,4,4,0,0,3,0,1,0,0.9999980000040001
3557,Reading,Low,18,4,32,49,9,1,4,2,3,4,0,3,5,0,1,4,0,0,1,0.49999875000312505
2798,Travelling,High,19,0,26,0,4,7,3,1,4,2,1,4,3,1,1,4,0,0,1,0.3333322222259259
129,Exercise,Medium,23,3,12,28,10,7,2,1,4,5,1,3,2,1,0,3,1,0,0,0.49999750001249993
2002,Watching Sports,High,26,2,54,42,7,10,2,5,3,4,1,4,4,0,1,3,0,0,0,2.4999875000625
250,Exercise,Low,30,1,20,35,10,7,3,2,2,4,1,2,4,1,1,5,0,1,0,0.6666644444518518
5089,Meditation,High,22,4,0,28,4,1,5,3,3,4,1,3,2,0,0,2,0,0,1,0.5999988000024
559,Walking or Nature Walks,Medium,18,2,28,35,7,3,5,3,1,3,0,5,5,1,0,2,1,0,0,0.5999988000024
3275,Yoga,Low,30,4,30,49,10,10,2,2,4,3,0,1,5,0,1,5,0,0,1,0.9999950000249999
3825,Walking or Nature Walks,Medium,26,2,25,42,5,2,2,1,5,5,0,1,5,0,0,3,0,0,0,0.49999750001249993
1407,Spending Time Alone,High,27,3,29,0,12,2,4,4,3,4,1,4,5,0,0,3,0,0,0,0.9999975000062501
846,Walking or Nature Walks,High,23,2,8,28,8,10,3,2,1,3,1,5,2,1,1,3,0,0,1,0.6666644444518518
1800,Travelling,High,30,1,40,35,5,0,4,2,1,1,0,4,3,0,1,4,0,1,0,0.49999875000312505
4287,Spending Time Alone,Medium,24,1,56,56,8,3,1,4,2,2,0,5,3,0,1,3,0,0,0,3.9999600003999958
206,Reading,High,22,2,44,42,12,5,3,5,3,1,0,5,3,1,0,3,1,0,0,1.6666611111296294
3330,Spending Time Alone,Low,27,0,27,49,10,2,1,1,2,4,1,2,2,1,0,2,0,1,0,0.9999900000999989
4146,Watching Sports,High,28,4,12,21,6,9,1,4,2,2,1,3,1,0,1,5,0,1,0,3.9999600003999958
4298,Social Media Engagement,Low,24,1,-5,35,6,5,5,1,3,1,0,2,3,0,1,4,0,0,1,0.19999960000080003
4403,Exercise,Medium,19,2,17,56,9,1,2,2,5,5,1,5,1,1,0,5,1,0,0,0.9999950000249999
1157,Exercise,Low,26,0,65,0,4,10,4,3,5,1,0,2,4,0,0,5,0,1,0,0.7499981250046875
864,Meditation,High,28,1,45,56,7,5,2,1,5,1,1,1,5,1,1,4,0,0,1,0.49999750001249993
701,Travelling,Low,18,2,39,14,5,3,2,1,4,1,0,4,5,0,1,5,1,0,0,0.49999750001249993
5102,Travelling,High,20,2,26,42,6,2,2,3,2,4,0,5,4,0,0,2,0,0,0,1.4999925000374998
1910,Talking to Friends,High,26,1,12,56,11,3,1,4,1,1,0,2,4,1,1,1,0,1,0,3.9999600003999958
3701,Spending Time Alone,Low,24,3,7,21,7,1,1,5,5,2,1,1,5,0,0,2,0,0,1,4.999950000499995
927,Watching Sports,Low,20,4,43,42,4,4,2,2,2,1,1,3,5,1,1,5,0,0,1,0.9999950000249999
5332,Social Media Engagement,Low,18,1,35,0,12,4,3,5,4,1,1,3,4,0,0,4,0,0,1,1.6666611111296294
2108,Walking or Nature Walks,High,19,2,19,49,6,9,1,4,1,5,0,2,4,0,1,2,0,0,1,3.9999600003999958
66,Social Media Engagement,Medium,24,4,54,49,12,4,2,1,5,1,0,3,5,1,0,1,1,0,0,0.49999750001249993
524,Talking to Friends,High,30,2,23,35,9,5,4,3,4,4,0,5,1,0,0,2,0,0,1,0.7499981250046875
2516,Meditation,Medium,28,4,-3,42,4,6,4,2,2,1,1,1,4,1,1,2,0,0,0,0.49999875000312505
3322,Talking to Friends,Medium,24,0,26,49,6,2,4,2,1,2,1,5,4,0,0,4,0,0,1,0.49999875000312505
1285,Meditation,High,21,4,37,0,7,9,1,5,4,5,1,3,5,0,1,5,0,0,1,4.999950000499995
2667,Social Media Engagement,Low,30,1,31,42,11,6,5,3,5,5,0,1,2,1,0,3,1,0,0,0.5999988000024
3237,Meditation,Low,19,0,31,56,9,9,4,1,1,1,0,3,3,0,1,1,0,0,1,0.24999937500156252
5604,Watching Sports,Medium,26,1,53,28,10,3,1,1,5,1,1,4,3,0,0,5,0,0,1,0.9999900000999989
5407,Spending Time Alone,Medium,24,1,55,7,7,10,3,3,4,4,1,1,2,0,0,2,0,0,0,0.9999966666777778
805,Walking or Nature Walks,High,24,2,13,56,7,8,3,2,5,1,0,3,5,1,1,1,0,0,1,0.6666644444518518
1165,Watching Sports,High,26,2,43,14,10,1,2,3,2,4,1,1,3,0,1,5,0,0,0,1.4999925000374998
3742,Social Media Engagement,Low,24,4,8,21,9,5,5,5,3,2,1,4,2,1,0,4,0,0,0,0.9999980000040001
2314,Yoga,High,21,1,38,0,9,1,2,5,4,4,1,4,2,0,0,4,0,0,1,2.4999875000625
3999,Walking or Nature Walks,High,27,0,51,35,8,5,3,3,4,4,1,5,1,0,1,1,0,0,0,0.9999966666777778
2359,Reading,Low,26,4,28,14,7,4,3,3,1,1,0,3,2,0,1,5,0,0,0,0.9999966666777778
1888,Yoga,Low,28,4,25,35,5,10,2,4,5,5,0,1,5,1,1,1,0,0,1,1.9999900000499997
1510,Reading,Medium,27,3,-6,21,12,6,3,5,3,3,1,4,1,0,0,3,0,0,1,1.6666611111296294
4005,Watching Sports,Medium,23,3,16,49,5,3,5,5,2,2,0,1,2,0,1,4,0,0,1,0.9999980000040001
633,Talking to Friends,High,21,4,6,7,8,2,2,4,2,3,1,3,3,0,1,3,1,0,0,1.9999900000499997
4934,Walking or Nature Walks,Low,19,0,17,28,10,10,2,4,2,5,1,4,4,0,1,4,0,0,1,1.9999900000499997
